,MUNCOD,RATE_08,RATE_09,RATE_10,RATE_11,RATE_12,RATE_13,RATE_14,RATE_15,RATE_16,RATE_17,RATE_18,AVG
0,110001,20.344224274728404,4.106101667077277,0.0,4.127455836222553,4.15472184137272,7.7736318407960185,3.89833151411196,7.819219641879741,3.920646122480985,11.793843613633685,4.316484654897052,6.568605546109127
1,110002,9.458388999893591,3.5070901672882013,4.427031454058482,3.276182155727859,9.703817913247867,1.9749380363191105,4.860976083997667,3.8313809254700617,6.610259122157588,9.315757603987144,1.8838067967749228,5.349966296265681
2,110003,0.0,14.936519790888724,0.0,0.0,0.0,15.396458814472673,0.0,31.471282454760036,15.90077913817777,0.0,36.778227289444644,10.407569771613076
3,110004,5.110971979096124,8.897362567524628,2.544496889352553,1.266480071936068,7.563342997604942,3.4939380175395685,5.776607052081889,11.46447160250384,22.75908371928946,15.8179579016349,20.044097013429546,9.521709982908503
4,110005,0.0,0.0,23.48796241926013,0.0,11.86802753382388,0.0,0.0,11.119759813188038,11.13647753215658,5.576000892160144,6.0812454390659205,6.2972248754231535
5,110006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.31434341287134,0.0,10.83012942004657,0.0,1.4676793484470827
6,110007,0.0,0.0,0.0,0.0,11.72332942555686,0.0,0.0,0.0,0.0,0.0,0.0,1.065757220505169
7,110008,0.0,13.83891502906172,29.19708029197081,21.393425087356487,20.898641588296762,12.615908660821296,0.0,6.0056453065881925,0.0,0.0,22.40268832259871,11.48657311697218
8,110009,0.0,3.4611657206147037,6.958700114818552,10.358043020405344,0.0,9.46402094703303,6.240833775392393,0.0,0.0,6.055101422948835,6.240833775392393,4.434427161509569
9,110010,2.466638711427937,7.359795888327364,2.4011909907314033,9.538799065197693,11.847779726079333,4.3705338607110855,2.1643616215397268,21.444501629782128,2.1254888624383605,10.537185728435649,10.921084245243867,7.743396393628594
10,110011,0.0,0.0,1.9214880003074384,5.782240811055645,1.9318072056408768,1.7986582009820675,1.7963318902800482,3.588216297678424,3.583844031107766,5.3695119113672565,1.9255579304103363,2.5179687526208956
11,110012,15.355849223626327,9.909017205657149,0.0,0.8520572923323364,0.0,1.5621826816427913,0.7737422819207378,0.7667594445594583,4.560656734569778,2.2613008510028867,4.690908238016683,3.702952177575286
12,110013,3.1042403923759854,12.06308996049338,6.429421030636193,6.293266205160477,3.0861339999382777,0.0,2.7463473580138418,0.0,0.0,0.0,7.673223009438063,3.763247450550565
13,110014,11.32951906191582,0.0,15.11715797430083,0.0,10.05479865265698,18.668035655948106,13.946353028683,0.0,9.229349330872171,4.598335402584265,0.0,7.540322646087379
14,110015,10.769479295676057,10.891763104152483,5.271342347328747,5.304758368256326,2.6679472813617204,7.481483328761315,2.4993751562109474,0.0,10.040160642570283,7.545461404964914,8.25536598789213,6.429739719743174
15,110018,0.0,11.770244821092279,5.925223677193816,2.9428209881992884,0.0,5.414331736105472,8.058017727639001,5.3316272126252935,2.6464828243264704,10.51220730072797,8.234067080199814,5.530456669828127
16,110020,6.5930704192665335,7.052757236259531,8.6740841808148,8.032460319646022,5.647152366947442,7.6289918184217465,7.287257622775109,9.547526792747062,7.237602671262218,6.9305939519016775,7.891733120833982,7.50211186371601
17,110025,0.0,0.0,4.480487477037502,4.543595801717481,4.606384448846102,0.0,0.0,0.0,0.0,4.51997830410414,10.304497913339171,2.586813085913127
18,110028,0.0,13.861660626943106,7.893905904641616,7.858700563861765,7.821360134527394,1.8064562747258703,7.167559625136633,8.890153266242312,7.059155724975294,10.512667764656413,1.8280867244342072,6.790882419104054
19,110029,0.0,10.69747539580659,0.0,0.0,11.79801793298726,0.0,11.486331265793705,23.44116268166901,0.0,0.0,0.0,5.220271570568778
20,110030,7.309407207075506,0.0,2.6251197710895564,5.13235048821484,1.2560289389067525,9.119199334298447,3.3408688486252327,5.446563762921972,4.266894234359166,6.2741817421311294,10.261883260816024,5.002954326221692
21,110032,0.0,8.620318089737513,4.5821114369501466,0.0,0.0,8.450228156160216,0.0,0.0,0.0,0.0,0.0,1.968423425713443
22,110033,4.618937644341802,0.0,0.0,0.0,4.216029343564231,0.0,11.142061281337046,10.869565217391305,0.0,6.922571042885328,0.0,3.4335604117745193
23,110034,5.879240402140042,0.0,5.9297912713472485,6.015037593984963,0.0,5.747456750387952,0.0,0.0,0.0,0.0,6.792555359326178,2.7603710342896717
24,110037,8.359806052499582,8.421052631578947,15.59332605644784,0.0,15.584820384945063,0.0,7.202535292422932,0.0,14.29286071607232,7.11997152011392,0.0,6.96130660491642
25,110040,0.0,0.0,0.0,5.732630130703968,0.0,0.0,0.0,4.948045522018802,0.0,4.781028877414419,9.52426306014572,2.271451599116628
26,110045,0.0,0.0,6.1756986259070565,6.07921213410742,0.0,0.0,10.750665197409091,0.0,5.2015604681404435,0.0,2.5682512777050106,2.7977625184790016
27,110050,0.0,0.0,0.0,0.0,0.0,0.0,19.243721735783698,0.0,0.0,9.949258780220873,22.854530910753056,4.731591947887057
28,110060,0.0,0.0,0.0,0.0,0.0,0.0,15.827793605571385,0.0,0.0,15.479876160990713,0.0,2.846151796960191
29,110070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.032348804500702,0.0,13.808340237503453,0.0,1.8946080947276505
30,110080,0.0,0.0,5.055100596501871,0.0,9.621397989127821,8.705872110738692,8.484282865990751,12.419788863589318,8.090942190218051,7.915776141850709,3.8486702844167335,5.8310755493121755
31,110090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.909572983533355,0.0,0.0,2.5372339075939414
